Track Title	Artist	Album	Seed
Yeah, I Said It	Rihanna	ANTI	Rihanna
Birthday	Katy Perry	PRISM	Rihanna
She Will Be Loved	Maroon 5	Songs About Jane	Rihanna
I'm Real	Jennifer Lopez	J. Lo	Rihanna
Yeah! (feat. Lil' Jon \& Ludacris)	Usher	Confessions	Rihanna
Bumpin' On Sunset	Wes Montgomery	Wes Montgomery: Finest Hour	Wes Montgomery
The Natives Are Restless Tonight 	Horace Silver	Song For My Father	Wes Montgomery
I Remember Clifford	Lee Morgan	The Ultimate Collection	Wes Montgomery
Gee Baby, Ain't I Good To You	Kenny Burrell	Midnight Blue	Wes Montgomery
West Coast Blues	Wes Montgomery	The Jazz Effect - Wes Montgomery	Wes Montgomery
Il Postino: Theme (Instrumental)	Itzhak Perlman	Cinema Serenade	Itzhak Perlman
Brahms: Hungarian Dance No.5 	Nicola Benedetti	The Violin	Itzhak Perlman
Violin Concerto No. 2 in E Major ..	Joshua Bell	Bach	Itzhak Perlman
Piezas Caracteristicas, Op. 92	John Williams	The Ultimate Guitar Collection	Itzhak Perlman
Adagio for Strings 	Leonard Bernstein	Barber's Adagio ...	Itzhak Perlman
