label	x	ArtistToSeedArtistAMG	SeedRoviSimilarTo	y	Intercept	z
Classical	0.374398552	0.294505674	0.088549976	0.242425385	0.000120413	0
Jazz	0.136293123	0.619711778	0.057145256	0.18621839	0.000631454	0
{Christian/Gospel}	0.347496563	0.425348459	0.048339575	0.172804002	0.0060114	0
Country	0.328708895	0.490643301	0.041211267	0.136980452	0.002456085	0
{R\&B/Soul}	0.487469897	0.321894179	0.045270682	0.131992236	0.013373005	-10
{Blues/Folk}	0.18378493	0.551353885	0.131855379	0.131305331	0.001700475	0
Rock	0.476115953	0.317849655	0.069125164	0.128402026	0.008507201	0
Latin	0.418930345	0.383225112	0.061143145	0.122938494	0.013762904	0
Pop	0.476770547	0.307511286	0.090386128	0.118449244	0.006882795	0
{Reggae/Dancehall}	0.442325263	0.391289121	0.058680975	0.094841069	0.012863573	0
Soundtracks	0.621062038	0.208350097	0.074466581	0.083919957	0.012201327	-10
World	0.447734345	0.366744509	0.087873595	0.082550426	0.015097126	0
{Hip Hop}	0.673360517	0.192021721	0.032217633	0.076732744	0.025667385	0
{Electronic/Dance}	0.601189128	0.255448169	0.068653105	0.058800418	0.015909179	0
{Comedy/Spoken Word}	0.69960331	0.229368604	0.023453957	0.01477874	0.032795389	0
