NumUsagePoints,Count
1,2156
2,4301
3,6363
4,7336
5,7583
6,7065
7,6135
8,5190
9,4377
10,3647
11,3313
12,2838
13,2606
14,2229
15,2007
16,1812
17,1591
18,1537
19,1383
20,1303
21,1242
22,1144
23,1028
24,1017
25,875
26,845
27,823
28,788
29,701
30,637
31,658
32,608
33,574
34,574
35,559
36,515
37,505
38,474
39,485
40,413
41,386
42,388
43,387
44,359
45,379
46,372
47,328
48,313
49,302
50,311
51,314
52,274
53,279
54,256
55,251
56,275
57,257
58,254
59,222
60,244
61,247
62,255
63,229
64,194
65,217
66,181
67,177
68,194
69,173
70,207
71,179
72,159
73,163
74,180
75,149
76,164
77,169
78,173
79,160
80,142
81,131
82,165
83,142
84,139
85,128
86,128
87,128
88,131
89,134
90,124
91,121
92,135
93,119
94,141
95,109
96,93
97,121
98,110
99,112
100,111
101,117
102,105
103,98
104,96
105,117
106,102
107,87
108,105
109,93
110,94
111,82
112,91
113,90
114,92
115,102
116,91
117,88
118,88
119,97
120,82
121,89
122,67
123,86
124,65
125,82
126,86
127,76
128,71
129,70
130,79
131,66
132,69
133,62
134,66
135,78
136,67
137,71
138,63
139,67
140,67
141,70
142,44
143,56
144,56
145,47
146,51
147,55
148,74
149,54
150,58
151,65
152,50
153,56
154,45
155,64
156,46
157,48
158,49
159,55
160,48
161,52
162,43
163,47
164,58
165,63
166,39
167,42
168,52
169,54
170,53
171,38
172,51
173,46
174,43
175,49
176,60
177,43
178,44
179,44
180,49
181,41
182,40
183,47
184,45
185,54
186,46
187,36
188,48
189,42
190,42
191,41
192,42
193,25
194,46
195,41
196,31
197,36
198,45
199,41
200,39
201,37
202,31
203,43
204,47
205,32
206,35
207,36
208,35
209,43
210,40
211,22
212,33
213,44
214,37
215,36
216,32
217,32
218,34
219,40
220,38
221,26
222,30
223,43
224,32
225,30
226,37
227,28
228,19
229,29
230,30
231,30
232,30
233,32
234,35
235,28
236,25
237,28
238,29
239,29
240,28
241,34
242,24
243,25
244,32
245,24
246,25
247,49
248,36
249,26
250,25
251,17
252,35
253,20
254,32
255,18
256,32
257,32
258,29
259,25
260,27
261,27
262,16
263,24
264,21
265,23
266,26
267,22
268,28
269,24
270,23
271,27
272,18
273,20
274,33
275,22
276,21
277,26
278,20
279,16
280,26
281,15
282,21
283,22
284,26
285,26
286,19
287,12
288,22
289,29
290,16
291,22
292,20
293,24
294,26
295,24
296,24
297,16
298,18
299,17
300,22
301,20
302,19
303,29
304,15
305,14
306,19
307,16
308,18
309,23
310,8
311,29
312,25
313,21
314,18
315,22
316,25
317,11
318,14
319,21
320,25
321,8
322,16
323,8
324,27
325,17
326,26
327,14
328,20
329,17
330,15
331,13
332,11
333,14
334,19
335,15
336,19
337,20
338,13
339,22
340,15
341,12
342,11
343,11
344,23
345,26
346,17
347,15
348,19
349,16
350,17
351,20
352,13
353,14
354,23
355,27
356,21
357,20
358,17
359,20
360,19
361,15
362,20
363,14
364,10
365,15
366,7
367,23
368,6
369,8
370,19
371,16
372,17
373,15
374,17
375,10
376,14
377,15
378,13
379,11
380,9
381,13
382,13
383,6
384,18
385,18
386,12
387,23
388,15
389,11
390,20
391,15
392,18
393,11
394,12
395,20
396,7
397,13
398,8
399,17
400,14
401,17
402,10
403,9
404,11
405,13
406,12
407,13
408,14
409,13
410,18
411,15
412,14
413,19
414,14
415,4
416,9
417,11
418,8
419,9
420,12
421,16
422,4
423,9
424,19
425,18
426,15
427,14
428,3
429,11
430,13
431,8
432,13
433,7
434,15
435,7
436,8
437,13
438,13
439,13
440,9
441,14
442,17
443,9
444,10
445,8
446,9
447,12
